Classification,Cl,TDS,E.C,Na,T.H,NO3 ,Mg,RSC  meq  / L,Ca,SAR
3,60.0,476.8,745.0,49.0,279.9342105,42.27681818,38.896,-1.198684211,48.0,1.273327902
4,80.0,589.44,921.0,42.0,399.8930921,100.6590909,63.206,-3.397861842,56.0,0.913165517
3,30.0,326.4,510.0,45.0,219.9342105,41.47154545,38.896,-0.398684211,24.0,1.319283964
3,10.0,270.08,422.0,27.0,159.9671053,10.66986364,19.448,0.000657895,32.0,0.928155164
4,60.0,659.2,1030.0,73.0,339.9424342,66.435,34.034,0.001151316,80.0,1.72144176
4,330.0,1362.56,2129.0,162.0,739.7861842,193.2654545,126.412,-7.995723684,88.0,2.589608252
4,40.0,628.48,982.0,85.0,299.9259868,144.9490909,43.758,-1.198519737,48.0,2.133949028
3,30.0,160.0,250.0,10.20021285,99.98355263,24.3595,9.724,-0.846885217,24.0,0.443523991
4,380.0,1177.6,1840.0,150.3975766,599.8190789,159.444,106.964,-7.83894354,64.0,2.669948378
4,140.0,992.0,1550.0,190.9923317,359.8766447,11.29395,72.93,3.746380368,24.0,4.377349903
4,170.0,889.6,1390.0,161.8440782,339.8848684,70.864,68.068,0.401311253,24.0,3.816832154
4,90.0,556.16,869.0,72.64980488,279.9259868,7.9722,43.758,0.192104435,40.0,1.887926173
3,40.0,313.6,490.0,29.8891904,159.9671053,0.4429,19.448,0.349816786,32.0,1.027474311
4,110.0,646.4,1010.0,81.68477438,319.9424342,95.2235,34.034,-1.433483162,72.0,1.985534124
3,30.0,294.4,460.0,39.99707701,99.99177632,0.8858,4.862,1.646980071,32.0,1.739074858
4,160.0,691.84,1081.0,85.27975782,339.9259868,141.728,43.758,-3.727793695,64.0,2.011064218
4,130.0,825.6,1290.0,193.8426385,219.9506579,57.35555,29.172,3.457967525,40.0,5.682753839
4,110.0,634.24,991.0,73.11603375,339.9342105,18.136755,38.896,-0.757371069,72.0,1.724198853
3,20.0,269.44,421.0,27.0,139.9671053,3.422409091,19.448,-0.599342105,24.0,0.992254181
3,40.0,258.56,404.0,16.0,159.9588816,22.145,24.31,-0.999177632,24.0,0.550032013
3,30.0,235.52,368.0,22.0,139.9753289,29.99640909,14.586,-0.599506579,32.0,0.808479657
4,190.0,929.28,1452.0,156.0,379.8930921,121.3948636,63.206,-2.397861842,48.0,3.479894391
4,60.0,524.16,819.0,33.18059628,339.9671053,37.42505,19.448,-1.299360911,104.0,0.782416322
4,220.0,735.36,1149.0,164.4849717,219.9835526,22.167145,9.724,-0.086244769,72.0,4.821734384
4,110.0,764.16,1194.0,101.9418385,359.9506579,58.68425,29.172,0.135571412,96.0,2.336162993
4,170.0,924.8,1445.0,94.40207972,519.9506579,52.7051,29.172,-2.425147394,160.0,1.800000642
4,60.0,498.56,779.0,57.11590859,239.9588816,10.164555,24.31,0.702779753,56.0,1.603100831
4,160.0,882.56,1379.0,80.16061447,519.9588816,118.6972,24.31,-4.069323019,168.0,1.528441078
4,120.0,787.84,1231.0,105.3718166,379.9259868,38.31085,43.758,0.128095032,80.0,2.35042897
4,90.0,536.96,839.0,78.69718452,239.9671053,52.04075,19.448,-0.245598886,64.0,2.20879547
4,520.0,1425.28,2227.0,282.0,539.8684211,39.45836364,77.792,-7.997368421,88.0,5.276881116
4,150.0,496.64,776.0,85.0,259.9177632,63.21390909,48.62,-3.198355263,24.0,2.292308735
4,110.0,729.6,1140.0,135.0,259.9342105,77.30618182,38.896,-1.398684211,40.0,3.640610452
3,100.0,399.36,624.0,92.0,139.9671053,45.09527273,19.448,-0.799342105,24.0,3.381014248
4,140.0,657.28,1027.0,107.0,299.9424342,41.67286364,34.034,-2.398848684,64.0,2.686191595
3,50.0,360.96,564.0,70.0,179.9671053,5.234272727,19.448,-0.799342105,40.0,2.268682068
4,170.0,693.12,1083.0,30.0,539.8355263,62.40863636,97.24,-6.996710526,56.0,0.561387435
4,240.0,933.12,1458.0,202.0,399.9177632,18.31995455,48.62,1.201644737,80.0,4.391755826
4,140.0,789.76,1234.0,165.0,199.9424342,22.74895455,34.034,2.201151316,24.0,5.073452757
